37;227;3731;927;14,24,5,12,6,17,18,19,8,16,9,15,4,3,2,1,13,0,7,23,22,21,11,10,20
38;221;4284;1099;24,3,0,12,20,16,13,4,10,6,14,11,8,9,23,7,21,22,1,2,15,17,5,18,19
39;218;4642;1083;18,14,19,8,6,4,23,21,12,5,3,24,16,22,9,1,10,20,7,13,0,11,17,2,15
40;261;6500;1402;3,6,12,24,5,17,23,14,9,4,8,2,16,19,15,1,10,20,7,11,18,13,0,21,22
41;262;8607;1884;9,14,19,17,15,8,18,5,2,16,3,6,4,24,12,22,21,10,20,13,7,1,23,11,0
42;261;8374;1457;5,9,14,8,12,4,3,10,6,2,24,16,17,20,15,7,21,22,1,11,19,23,13,0,18
43;264;6409;1079;3,14,24,8,12,4,15,18,6,2,16,9,17,19,5,1,21,22,7,10,20,23,13,11,0
44;228;4730;723;19,17,23,9,5,13,1,2,24,20,4,0,10,15,11,22,18,21,7,3,16,14,6,8,12
45;200;3494;531;22,15,4,12,20,3,17,23,10,6,2,16,8,21,14,1,18,19,7,13,0,11,24,9,5
46;201;3547;623;3,14,24,8,12,4,15,18,6,2,16,9,17,19,5,1,10,20,7,13,21,23,11,0,22
47;208;3872;572;3,24,15,12,6,4,5,18,8,16,9,2,14,19,17,1,21,22,7,10,20,23,13,11,0
48;234;6828;997;18,14,22,19,7,12,21,23,1,6,3,10,8,16,20,15,17,2,5,13,0,11,4,9,24
49;216;3468;516;23,11,19,22,7,8,3,9,1,21,13,12,0,24,6,20,5,10,15,16,18,14,4,17,2
50;224;4618;662;24,9,18,8,12,14,5,23,6,3,4,21,16,19,22,1,10,20,7,11,15,0,13,17,2
51;204;3298;492;13,23,6,24,5,8,12,11,9,17,16,15,4,0,2,1,22,19,7,3,10,14,21,18,20
52;273;9690;1433;14,6,12,24,15,4,23,3,5,9,8,17,16,18,2,1,20,19,7,13,22,21,10,11,0
53;218;5168;732;9,3,20,12,6,17,10,5,8,16,14,15,4,24,2,1,22,19,7,11,18,23,13,0,21
54;205;3623;565;15,14,24,2,17,6,5,10,4,8,3,9,16,20,12,7,21,22,1,11,19,23,13,0,18
55;227;4336;697;21,13,15,19,7,4,18,0,1,5,24,2,9,22,17,12,8,6,20,3,23,11,16,14,10
56;206;3019;591;3,9,11,8,12,23,5,4,6,16,24,10,14,19,20,1,21,22,7,17,0,13,18,2,15
57;217;4807;920;8,3,18,17,15,9,23,12,2,4,14,24,16,6,5,1,20,19,7,11,0,13,10,21,22
58;336;17063;2519;12,3,18,23,20,0,16,8,10,11,14,21,13,6,22,1,5,19,7,17,2,4,9,24,15
59;175;2985;452;0,11,10,12,6,17,14,3,8,16,23,20,4,13,2,1,22,19,7,9,15,24,21,18,5
60;184;2133;347;15,2,16,18,22,12,4,13,21,3,17,8,14,0,6,1,20,19,7,24,5,9,23,11,10
61;207;4350;634;18,3,15,21,22,4,16,19,5,9,14,2,24,1,17,12,8,6,7,0,23,13,11,10,20
62;228;4104;607;8,3,19,17,15,24,18,6,2,4,14,5,16,12,9,10,23,11,20,22,1,21,13,0,7
63;188;2942;443;10,3,9,18,22,13,19,14,21,0,23,24,11,20,5,1,6,12,7,17,16,4,8,2,15
64;213;5007;740;4,17,23,9,5,11,15,19,24,13,2,10,0,1,20,22,18,21,7,3,16,14,6,8,12
65;209;3763;655;3,17,16,9,5,12,23,14,24,15,4,8,2,18,6,1,22,19,7,11,10,13,21,0,20
66;248;4491;735;11,23,15,10,20,4,14,13,5,9,16,2,24,0,17,7,21,22,1,18,19,3,8,6,12
67;261;5941;910;11,3,9,8,12,10,4,13,6,23,14,24,16,0,20,7,21,22,1,2,15,17,5,18,19
68;226;5031;795;23,24,15,11,20,4,5,14,10,0,9,2,13,16,17,7,21,22,1,18,19,3,8,6,12
69;227;7656;1105;13,16,18,20,7,0,14,4,1,10,23,21,11,17,22,6,19,8,12,3,15,2,24,9,5
70;225;5182;1009;17,16,3,2,15,8,19,1,22,21,14,12,18,4,6,5,9,24,7,0,23,13,11,10,20
71;266;9221;1325;4,13,15,9,5,23,14,2,24,11,16,20,0,17,10,7,21,22,1,18,19,3,8,6,12
72;254;6650;1009;11,3,4,13,5,18,16,23,0,24,14,22,9,10,21,1,20,19,7,2,15,17,8,6,12
73;221;7708;1377;11,23,10,17,15,24,14,0,2,9,16,20,4,13,5,1,22,19,7,21,18,3,8,6,12
74;272;9613;1837;2,24,5,8,12,14,18,4,6,3,9,19,16,17,15,1,21,22,7,10,20,23,13,11,0
75;210;3916;717;3,6,15,12,19,4,16,14,5,9,8,2,24,18,17,1,21,22,7,10,20,23,13,11,0
76;240;4710;700;18,19,24,22,20,13,9,3,10,0,5,23,21,14,11,15,17,2,7,16,1,4,8,6,12
77;210;4467;674;14,17,1,18,22,8,15,4,21,19,2,12,3,16,6,5,9,24,7,0,20,13,23,11,10
78;279;9147;1247;18,3,4,21,22,8,16,13,15,12,14,17,6,0,2,1,20,19,7,10,23,11,24,9,5
79;206;3882;732;16,9,0,4,2,12,13,3,17,6,24,11,8,14,23,1,22,19,7,20,15,10,21,18,5
80;232;4190;695;17,4,14,15,1,3,16,24,19,22,9,18,21,2,5,10,23,11,20,0,7,13,8,6,12
81;221;3633;562;3,14,15,6,5,4,24,18,12,8,9,2,16,19,17,1,21,22,7,10,20,23,13,11,0
82;213;4482;666;3,4,8,5,19,2,16,14,15,24,17,6,9,18,12,1,21,22,7,10,20,23,13,11,0
83;212;3999;590;18,14,22,17,15,8,21,9,2,16,3,6,4,5,12,7,10,20,1,23,19,24,13,11,0
84;234;5632;802;10,4,3,20,19,8,14,23,5,9,16,12,24,11,6,1,21,22,7,2,15,17,13,0,18
85;217;6323;890;9,4,3,5,19,8,14,18,15,2,16,6,17,24,12,1,21,22,7,10,20,23,13,11,0
86;279;6772;1080;3,24,5,17,15,8,23,14,2,16,9,6,4,19,12,1,21,22,7,11,10,13,0,18,20
87;205;5548;802;3,24,15,8,12,4,5,18,6,16,9,2,14,19,17,1,21,22,7,10,20,23,13,11,0
88;210;4564;661;16,14,19,8,12,18,5,2,6,22,3,1,21,15,7,10,23,11,20,4,9,17,0,13,24
89;243;5515;775;16,3,5,8,12,4,19,14,6,2,15,9,17,23,24,1,13,0,7,20,18,10,11,21,22
90;235;5508;824;5,14,9,8,12,16,24,23,6,2,3,4,15,18,17,1,20,19,7,13,22,21,10,11,0
