51;7;122;8;6,8,2,7,4,0,1,3,5,9
52;18;232;17;0,9,4,5,8,6,3,1,2,7
53;14;165;12;3,9,8,4,1,7,5,2,0,6
54;11;149;10;0,8,4,7,1,9,2,5,3,6
55;10;136;9;3,9,0,1,6,2,5,7,8,4
56;7;124;8;1,7,5,4,8,6,9,0,2,3
57;6;98;7;6,9,4,5,3,0,8,1,2,7
58;12;135;9;0,9,4,5,8,6,3,1,2,7
59;9;96;7;4,9,5,1,2,6,0,8,7,3
60;14;155;11;6,1,2,5,3,0,8,9,4,7
61;9;113;8;6,9,5,4,0,3,8,1,2,7
62;11;143;10;3,6,7,2,9,1,0,8,5,4
63;10;147;10;9,2,8,5,0,3,4,6,1,7
64;11;137;9;9,7,6,4,0,2,1,8,3,5
65;14;186;13;1,3,4,5,8,6,9,0,2,7
66;16;210;14;1,0,7,4,5,8,9,2,6,3
67;10;209;14;2,8,1,7,4,9,6,3,0,5
68;8;133;9;2,8,7,4,9,1,6,3,0,5
69;12;137;9;0,8,4,7,1,9,2,5,3,6
70;17;176;12;4,0,7,1,6,2,9,3,5,8
71;15;288;19;2,9,7,3,5,8,0,1,6,4
72;11;152;10;0,8,4,5,1,9,3,6,2,7
73;12;133;9;5,1,3,7,2,0,8,9,4,6
74;8;118;8;7,0,8,4,5,3,9,2,1,6
75;15;232;16;6,3,4,5,1,9,8,0,2,7
76;16;200;13;8,0,7,5,9,4,3,2,6,1
77;11;185;13;2,8,7,4,9,1,6,3,0,5
78;9;132;9;8,0,7,5,9,4,3,2,6,1
79;7;139;9;1,9,2,4,3,0,7,6,5,8
80;12;154;15;5,1,3,7,2,0,8,9,4,6
81;14;211;21;9,7,6,4,0,2,1,8,3,5
82;7;68;6;4,1,6,7,3,8,9,2,0,5
83;7;123;10;2,9,7,3,5,8,0,1,6,4
84;12;144;18;2,9,7,3,5,8,0,1,6,4
85;14;203;25;0,6,4,7,1,9,2,8,3,5
86;9;87;10;3,6,8,4,1,9,5,2,0,7
87;10;120;16;2,8,3,7,4,9,0,6,1,5
88;6;101;11;5,9,6,4,7,8,1,0,3,2
89;15;144;16;0,8,4,5,1,9,3,6,2,7
90;13;155;18;0,8,4,5,1,9,3,6,2,7
91;10;124;15;6,9,0,1,7,4,2,5,8,3
92;14;134;16;3,9,5,7,4,0,8,1,2,6
93;13;124;13;4,9,5,1,2,6,0,8,7,3
94;13;157;15;5,1,3,7,2,0,8,9,4,6
95;13;113;12;4,0,7,1,6,2,9,3,5,8
96;8;136;12;5,1,3,7,2,0,8,9,4,6
97;10;82;9;9,0,7,4,6,8,1,3,5,2
98;11;121;16;1,0,5,4,8,6,9,2,7,3
99;7;75;9;9,2,5,7,3,8,1,6,4,0
